# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; 1.630; -2.662; 3.121
3.0; 0.054; 1.496; -2.665; 3.056
6.0; 0.107; 0.349; -2.583; 2.607
9.0; 0.161; -1.558; -2.428; 2.885
12.0; 0.214; -3.973; -2.209; 4.546
15.0; 0.268; -6.645; -1.937; 6.921
18.0; 0.323; -9.316; -1.621; 9.456
21.0; 0.378; -11.727; -1.277; 11.796
24.0; 0.433; -13.606; -0.926; 13.638
27.0; 0.490; -14.673; -0.590; 14.685
30.0; 0.547; -14.672; -0.273; 14.674
33.0; 0.606; -14.607; -0.071; 14.607
36.0; 0.665; -14.477; -0.000; 14.477
39.0; 0.726; -14.313; -0.000; 14.313
42.0; 0.787; -14.151; -0.000; 14.151
45.0; 0.850; -13.992; -0.000; 13.992
48.0; 0.914; -13.833; -0.000; 13.833
51.0; 0.979; -13.677; -0.000; 13.677
54.0; 1.045; -13.522; -0.000; 13.522
57.0; 1.113; -13.369; -0.000; 13.369
60.0; 1.182; -13.218; -0.000; 13.218
63.0; 1.252; -13.069; -0.000; 13.069
66.0; 1.325; -12.921; -0.000; 12.921
69.0; 1.398; -12.775; -0.000; 12.775
72.0; 1.474; -12.631; -0.000; 12.631
75.0; 1.551; -12.488; -0.000; 12.488
78.0; 1.631; -12.347; -0.000; 12.347
81.0; 1.712; -12.208; -0.000; 12.208
84.0; 1.796; -12.070; -0.000; 12.070
87.0; 1.882; -11.904; -0.060; 11.904
90.0; 1.971; -11.682; -0.230; 11.684
93.0; 2.063; -11.405; -0.504; 11.417
96.0; 2.158; -11.082; -0.857; 11.115
99.0; 2.256; -10.723; -1.261; 10.797
102.0; 2.358; -10.339; -1.695; 10.477
105.0; 2.464; -9.931; -2.150; 10.161
108.0; 2.574; -9.493; -2.633; 9.852
111.0; 2.689; -9.015; -3.156; 9.551
114.0; 2.809; -8.479; -3.734; 9.265
117.0; 2.935; -7.870; -4.381; 9.007
120.0; 3.065; -7.180; -5.093; 8.803
123.0; 3.202; -6.422; -5.845; 8.684
126.0; 3.344; -5.643; -6.580; 8.669
129.0; 3.494; -4.914; -7.227; 8.740
132.0; 3.650; -4.301; -7.734; 8.850
135.0; 3.812; -3.831; -8.094; 8.955
138.0; 3.980; -3.479; -8.340; 9.036
141.0; 4.152; -3.189; -8.519; 9.096
144.0; 4.327; -2.904; -8.673; 9.146
147.0; 4.506; -2.601; -8.813; 9.189
150.0; 4.687; -2.327; -8.917; 9.215
153.0; 4.872; -2.147; -8.955; 9.208
156.0; 5.061; -2.055; -8.920; 9.153
159.0; 5.253; -0.695; -8.935; 8.962
162.0; 5.447; 0.600; -8.923; 8.943
165.0; 5.643; 0.706; -8.982; 9.010
168.0; 5.839; 0.507; -9.049; 9.063
171.0; 6.037; 1.399; -8.368; 8.485
174.0; 6.233; 2.097; -7.583; 7.868
177.0; 6.428; 1.719; -7.939; 8.123
180.0; 6.621; 1.523; -8.146; 8.287
183.0; 6.811; 1.608; -8.075; 8.233
186.0; 6.997; 1.896; -7.772; 8.000
189.0; 7.178; 2.293; -7.303; 7.654
192.0; 7.353; 2.713; -6.751; 7.276
195.0; 7.524; 3.115; -6.176; 6.917
198.0; 7.688; 3.485; -5.603; 6.598
201.0; 7.847; 3.819; -5.043; 6.326
204.0; 8.001; 4.119; -4.505; 6.105
207.0; 8.148; 4.386; -3.994; 5.932
210.0; 8.291; 4.623; -3.509; 5.804
213.0; 8.429; 4.834; -3.049; 5.715
216.0; 8.562; 5.025; -2.606; 5.660
219.0; 8.691; 5.201; -2.173; 5.636
222.0; 8.817; 5.364; -1.743; 5.640
225.0; 8.940; 5.518; -1.312; 5.672
228.0; 9.059; 5.660; -0.885; 5.729
231.0; 9.176; 5.791; -0.461; 5.809
234.0; 9.290; 5.923; -0.000; 5.923
237.0; 9.402; 5.733; 0.658; 5.771
240.0; 9.511; 5.328; 1.874; 5.648
243.0; 9.618; 3.193; 3.373; 4.645
246.0; 9.725; -0.849; 4.817; 4.892
249.0; 9.833; -4.662; 5.866; 7.493
252.0; 9.944; -6.334; 6.472; 9.056
255.0; 10.057; -6.099; 6.714; 9.071
258.0; 10.173; -5.972; 6.777; 9.033
261.0; 10.293; -5.937; 6.734; 8.977
264.0; 10.417; -5.978; 6.617; 8.917
267.0; 10.545; -5.921; 6.580; 8.851
270.0; 10.678; -5.714; 6.692; 8.799
273.0; 10.816; -5.351; 6.962; 8.781
276.0; 10.958; -4.886; 7.330; 8.810
279.0; 11.106; -4.406; 7.707; 8.877
282.0; 11.260; -3.979; 8.027; 8.960
285.0; 11.421; -3.635; 8.270; 9.033
288.0; 11.589; -3.360; 8.446; 9.090
291.0; 11.764; -3.118; 8.584; 9.133
294.0; 11.944; -2.870; 8.709; 9.170
297.0; 12.127; -2.599; 8.827; 9.202
300.0; 12.314; -2.343; 8.917; 9.220
303.0; 12.504; -2.159; 8.948; 9.205
306.0; 12.699; -2.050; 8.899; 9.132
309.0; 12.899; -0.658; 8.875; 8.900
312.0; 13.102; 1.062; 8.822; 8.886
315.0; 13.306; 1.098; 8.821; 8.889
318.0; 13.512; 1.051; 8.864; 8.926
321.0; 13.718; 0.900; 8.947; 8.992
324.0; 13.923; 0.656; 8.987; 9.011
327.0; 14.124; 1.887; 7.756; 7.982
330.0; 14.317; 3.657; 5.296; 6.436
333.0; 14.500; 4.049; 4.579; 6.112
336.0; 14.671; 4.641; 3.428; 5.770
339.0; 14.833; 5.453; 1.483; 5.651
342.0; 14.987; 3.656; -1.203; 3.849
345.0; 15.139; -2.221; -4.252; 4.797
348.0; 15.296; -5.504; -6.451; 8.480
351.0; 15.459; -4.228; -7.647; 8.739
354.0; 15.629; -3.466; -8.251; 8.950
357.0; 15.805; -2.993; -8.569; 9.076
360.0; 15.986; -2.662; -8.750; 9.146
363.0; 16.172; -2.411; -8.856; 9.178
366.0; 16.364; -2.239; -8.901; 9.178
369.0; 16.561; -2.146; -8.891; 9.146
372.0; 16.766; -2.099; -8.819; 9.065
375.0; 16.976; -0.724; -8.824; 8.854
378.0; 17.188; 0.817; -8.811; 8.849
381.0; 17.400; 0.796; -8.883; 8.919
384.0; 17.611; 0.514; -8.998; 9.013
387.0; 17.820; 1.310; -8.356; 8.458
390.0; 18.022; 2.140; -7.428; 7.730
393.0; 18.220; 1.773; -7.782; 7.982
396.0; 18.415; 1.603; -7.973; 8.133
399.0; 18.608; 1.707; -7.885; 8.068
402.0; 18.799; 2.006; -7.568; 7.829
405.0; 18.986; 2.410; -7.087; 7.485
408.0; 19.168; 2.837; -6.524; 7.114
411.0; 19.346; 3.246; -5.935; 6.764
414.0; 19.518; 3.619; -5.349; 6.458
417.0; 19.684; 3.953; -4.784; 6.205
420.0; 19.845; 4.244; -4.252; 6.007
423.0; 20.000; 4.495; -3.762; 5.861
426.0; 20.150; 4.708; -3.318; 5.759
429.0; 20.295; 4.888; -2.920; 5.694
432.0; 20.434; 5.040; -2.566; 5.656
435.0; 20.568; 5.169; -2.252; 5.638
438.0; 20.698; 5.277; -1.977; 5.635
441.0; 20.824; 5.366; -1.738; 5.641
444.0; 20.946; 5.437; -1.544; 5.652
447.0; 21.065; 5.486; -1.407; 5.664
450.0; 21.181; 5.504; -1.357; 5.669
453.0; 21.294; 5.478; -1.435; 5.663
456.0; 21.405; 5.388; -1.692; 5.648
459.0; 21.513; 5.214; -2.165; 5.646
462.0; 21.619; 4.954; -2.823; 5.702
465.0; 21.724; 3.042; -3.600; 4.713
468.0; 21.828; -0.906; -4.444; 4.536
471.0; 21.934; -4.930; -5.180; 7.151
474.0; 22.043; -7.095; -5.694; 9.098
477.0; 22.156; -6.884; -5.901; 9.067
480.0; 22.273; -6.792; -5.919; 9.010
483.0; 22.394; -6.710; -5.906; 8.939
486.0; 22.519; -6.521; -6.000; 8.862
489.0; 22.649; -6.168; -6.270; 8.795
492.0; 22.784; -5.663; -6.694; 8.768
495.0; 22.924; -5.082; -7.183; 8.799
498.0; 23.068; -4.520; -7.640; 8.877
501.0; 23.217; -4.049; -8.003; 8.969
504.0; 23.371; -3.691; -8.261; 9.048
507.0; 23.528; -3.423; -8.436; 9.104
510.0; 23.688; -3.202; -8.564; 9.143
513.0; 23.852; -2.982; -8.677; 9.175
516.0; 24.020; -2.733; -8.791; 9.206
519.0; 24.190; -2.468; -8.895; 9.231
522.0; 24.364; -2.241; -8.960; 9.236
525.0; 24.541; -2.089; -8.959; 9.199
528.0; 24.722; -1.374; -8.927; 9.033
531.0; 24.906; -0.047; -8.877; 8.878
534.0; 25.091; 1.117; -8.828; 8.899
537.0; 25.277; 1.176; -8.817; 8.895
540.0; 25.464; 1.192; -8.827; 8.907
543.0; 25.652; 1.164; -8.852; 8.928
546.0; 25.840; 1.068; -8.869; 8.933
549.0; 26.028; 0.850; -8.733; 8.775
552.0; 26.212; 3.364; -5.683; 6.604
555.0; 26.387; 5.509; -1.342; 5.670
558.0; 26.552; 5.809; 0.400; 5.823
561.0; 26.709; 4.826; 3.057; 5.713
564.0; 26.862; 1.359; 5.851; 6.006
567.0; 27.016; -3.179; 7.639; 8.274
570.0; 27.172; -3.248; 8.442; 9.045
573.0; 27.332; -2.639; 8.836; 9.221
576.0; 27.495; -1.767; 9.032; 9.203
579.0; 27.659; -1.188; 9.095; 9.173
582.0; 27.825; -0.916; 9.093; 9.139
585.0; 27.992; -0.682; 9.071; 9.097
588.0; 28.161; -0.661; 9.027; 9.052
591.0; 28.331; 0.754; 9.031; 9.063
594.0; 28.500; 0.640; 9.084; 9.106
