# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.00467; 4039.0; -0.0; -535.4
3.0; 0.053; -0.00436; 4034.1; -0.1; -552.7
6.0; 0.105; -0.00381; 4029.2; -0.1; -551.7
9.0; 0.158; -0.00303; 4024.0; -0.8; -529.4
12.0; 0.211; -0.00206; 2958.4; -4.5; -487.9
15.0; 0.263; -0.00098; 1044.7; -12.8; -432.1
18.0; 0.316; 0.00012; 9.2; -1441.3; -366.6
21.0; 0.368; 0.00110; 3.2; -4124.7; -296.4
24.0; 0.421; 0.00183; 2.0; -6713.6; -226.0
27.0; 0.475; 0.00222; 1.5; -8865.7; -159.8
30.0; 0.530; 0.00222; 1.3; -10225.6; -100.9
33.0; 0.585; 0.00200; 0.1; -10415.8; -47.5
36.0; 0.641; 0.00125; 0.0; -10368.1; -12.0
39.0; 0.699; 0.00016; 0.0; -10272.4; -0.0
42.0; 0.757; -0.00054; 0.0; -10153.2; 0.0
45.0; 0.817; -0.00051; 0.0; -10036.2; 0.0
48.0; 0.878; -0.00020; 0.0; -9921.1; -0.0
51.0; 0.940; 0.00004; 0.0; -9807.9; -0.0
54.0; 1.004; 0.00010; 0.0; -9696.5; -0.0
57.0; 1.069; 0.00006; 0.0; -9586.9; -0.0
60.0; 1.135; 0.00001; 0.0; -9479.1; -0.0
63.0; 1.203; -0.00001; 0.0; -9373.2; -0.0
66.0; 1.272; -0.00001; 0.0; -9268.9; -0.0
69.0; 1.344; -0.00000; 0.0; -9166.5; -0.0
72.0; 1.416; 0.00000; 0.0; -9065.7; -0.0
75.0; 1.491; 0.00000; 0.0; -8966.6; -0.0
78.0; 1.568; 0.00000; 0.0; -8869.2; -0.0
81.0; 1.647; -0.00000; 0.0; -8773.4; -0.0
84.0; 1.729; -0.00000; 0.0; -8679.3; -0.0
87.0; 1.812; -0.00000; 0.0; -8586.6; -0.0
90.0; 1.899; -0.00059; 0.0; -8462.6; -15.5
93.0; 1.988; -0.00181; 0.0; -8281.3; -57.3
96.0; 2.081; -0.00328; 0.0; -8037.3; -125.3
99.0; 2.177; -0.00486; 0.0; -7735.1; -214.5
102.0; 2.277; -0.00664; 0.0; -7384.6; -318.2
105.0; 2.382; -0.00882; 0.0; -6993.1; -431.3
108.0; 2.490; -0.01165; 0.0; -6560.3; -552.0
111.0; 2.604; -0.01538; 0.0; -6077.5; -681.1
114.0; 2.723; -0.02020; 0.0; -5534.7; -819.8
117.0; 2.847; -0.02622; 0.0; -4930.3; -966.6
120.0; 2.977; -0.03331; 0.0; -4282.0; -1115.0
123.0; 3.112; -0.04102; 0.0; -3629.5; -1255.0
126.0; 3.254; -0.04872; 0.0; -3023.3; -1376.0
129.0; 3.403; -0.05582; 0.0; -2503.3; -1471.6
132.0; 3.558; -0.06206; 0.0; -2081.5; -1541.8
135.0; 3.719; -0.06764; 0.0; -1742.8; -1591.5
138.0; 3.885; -0.07301; 0.0; -1461.3; -1626.5
141.0; 4.055; -0.07849; 0.0; -1222.3; -1650.6
144.0; 4.228; -0.08380; 0.0; -1033.7; -1665.2
147.0; 4.403; -0.08806; 0.0; -911.5; -1670.6
150.0; 4.580; -0.09034; 0.0; -849.5; -1668.2
153.0; 4.759; -0.09037; 0.0; -823.0; -1658.7
156.0; 4.941; -0.08840; 0.0; -0.0; -1659.0
159.0; 5.125; -0.08529; 983.8; -0.0; -1658.5
162.0; 5.312; -0.08460; 903.7; -0.0; -1667.0
165.0; 5.501; -0.08846; 775.4; -0.0; -1676.5
168.0; 5.692; -0.09632; 1061.6; -0.0; -1627.2
171.0; 5.885; -0.10523; 1972.8; -0.0; -1435.2
174.0; 6.079; -0.11032; 1986.7; -0.0; -1423.4
177.0; 6.272; -0.10807; 1787.8; -0.0; -1470.6
180.0; 6.463; -0.10056; 1749.9; -0.0; -1475.2
183.0; 6.651; -0.09082; 1889.2; -0.0; -1431.4
186.0; 6.836; -0.08062; 2152.4; -0.0; -1347.9
189.0; 7.016; -0.07069; 2462.3; -0.0; -1242.3
192.0; 7.191; -0.06127; 2765.1; -0.0; -1131.2
195.0; 7.361; -0.05253; 3044.8; -0.0; -1021.9
198.0; 7.526; -0.04457; 3301.0; -0.0; -916.3
201.0; 7.685; -0.03746; 3534.8; -0.0; -815.1
204.0; 7.838; -0.03120; 3747.3; -0.0; -719.2
207.0; 7.986; -0.02573; 3940.3; -0.0; -628.5
210.0; 8.129; -0.02095; 4116.4; -0.0; -542.6
213.0; 8.267; -0.01674; 4278.5; -0.0; -460.6
216.0; 8.401; -0.01300; 4429.2; -0.0; -381.6
219.0; 8.531; -0.00967; 4570.0; -0.0; -305.1
222.0; 8.657; -0.00675; 4700.2; -0.0; -232.0
225.0; 8.780; -0.00432; 4817.2; -0.0; -164.8
228.0; 8.900; -0.00237; 4919.2; -0.0; -105.9
231.0; 9.018; -0.00052; 5015.5; -0.0; -48.5
234.0; 9.132; 0.00243; 5059.2; -0.0; 33.8
237.0; 9.245; 0.00972; 4848.5; -0.0; 221.8
240.0; 9.354; 0.01814; 4491.6; -0.1; 480.4
243.0; 9.462; 0.02421; 1584.6; -1.1; 755.0
246.0; 9.569; 0.02643; 1.1; -2261.1; 987.9
249.0; 9.676; 0.02505; 0.1; -4478.5; 1146.9
252.0; 9.786; 0.02205; 0.0; -4156.7; 1236.3
255.0; 9.899; 0.02128; 0.0; -3928.2; 1284.2
258.0; 10.015; 0.02234; 4.1; -3761.5; 1310.1
261.0; 10.135; 0.02447; 0.0; -3626.9; 1327.0
264.0; 10.258; 0.02688; 0.0; -3519.5; 1338.5
267.0; 10.385; 0.03048; 0.0; -3361.7; 1358.6
270.0; 10.517; 0.03550; 0.0; -3120.3; 1394.1
273.0; 10.653; 0.04130; 0.0; -2816.4; 1442.0
276.0; 10.794; 0.04718; 0.0; -2489.3; 1494.1
279.0; 10.940; 0.05259; 0.0; -2177.5; 1542.3
282.0; 11.091; 0.05737; 0.0; -1901.5; 1582.4
285.0; 11.250; 0.06169; 0.0; -1661.6; 1613.7
288.0; 11.415; 0.06596; 0.0; -1447.4; 1637.7
291.0; 11.586; 0.07043; 0.0; -1251.2; 1655.7
294.0; 11.761; 0.07495; 0.0; -1079.9; 1667.6
297.0; 11.938; 0.07871; 0.0; -952.2; 1672.4
300.0; 12.117; 0.08058; 0.0; -875.8; 1669.2
303.0; 12.299; 0.07961; 0.0; -838.0; 1656.7
306.0; 12.484; 0.07522; 0.0; -0.0; 1649.0
309.0; 12.674; 0.06753; 1170.3; -0.0; 1638.6
312.0; 12.867; 0.05950; 1202.5; -0.0; 1634.3
315.0; 13.063; 0.05295; 1209.6; -0.0; 1633.6
318.0; 13.261; 0.04777; 1192.3; -0.0; 1635.8
321.0; 13.460; 0.04314; 1143.4; -0.0; 1639.5
324.0; 13.659; 0.03805; 1039.4; -0.0; 1638.9
327.0; 13.857; 0.03166; 839.5; -0.0; 1603.7
330.0; 14.052; 0.02366; 2374.6; -0.0; 1158.5
333.0; 14.242; 0.01540; 4316.8; -0.0; 340.1
336.0; 14.420; -0.00112; 4779.1; -0.0; 16.1
339.0; 14.587; -0.02351; 4322.7; -0.1; -374.0
342.0; 14.744; -0.04830; 0.6; -786.2; -869.2
345.0; 14.897; -0.06952; 0.0; -3301.6; -1256.7
348.0; 15.055; -0.08494; 0.0; -2144.4; -1486.8
351.0; 15.220; -0.09429; 0.0; -1499.9; -1592.5
354.0; 15.389; -0.09851; 0.0; -1188.2; -1636.0
357.0; 15.564; -0.10017; 0.0; -1035.4; -1652.4
360.0; 15.743; -0.10125; 0.0; -949.7; -1656.6
363.0; 15.926; -0.10251; 0.0; -894.9; -1654.5
366.0; 16.114; -0.10370; 0.0; -860.3; -1647.2
369.0; 16.307; -0.10398; 0.0; -840.5; -1633.3
372.0; 16.506; -0.10241; 0.0; -31.8; -1630.9
375.0; 16.711; -0.09848; 1043.2; -0.0; -1628.3
378.0; 16.919; -0.09604; 1062.1; -0.0; -1636.1
381.0; 17.126; -0.09796; 911.4; -0.0; -1652.7
384.0; 17.334; -0.10416; 764.4; -0.0; -1654.8
387.0; 17.541; -0.11212; 1730.7; -0.0; -1466.0
390.0; 17.745; -0.11824; 2200.9; -0.0; -1331.8
393.0; 17.945; -0.11734; 2053.8; -0.0; -1369.1
396.0; 18.140; -0.10979; 2020.3; -0.0; -1375.2
399.0; 18.332; -0.09875; 2155.2; -0.0; -1330.1
402.0; 18.522; -0.08656; 2400.5; -0.0; -1246.5
405.0; 18.707; -0.07449; 2687.0; -0.0; -1142.7
408.0; 18.888; -0.06319; 2971.2; -0.0; -1033.0
411.0; 19.064; -0.05300; 3236.1; -0.0; -924.7
414.0; 19.235; -0.04408; 3476.1; -0.0; -821.5
417.0; 19.400; -0.03645; 3689.9; -0.0; -725.6
