# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 55.95; 0.00722; -0.05392; 3.77646; 0.01057
3.0; 0.054; 56.03; 0.00744; -0.04941; 3.82594; 0.00776
6.0; 0.107; 56.05; 0.00746; -0.04422; 3.86776; 0.00522
9.0; 0.161; 55.97; 0.00733; -0.03868; 3.90224; 0.00298
12.0; 0.214; 55.75; 0.00708; -0.03228; 3.92991; 0.00107
15.0; 0.268; 55.39; 0.00670; -0.02462; 3.95147; -0.00047
18.0; 0.323; 54.88; 0.00616; -0.01571; 3.96771; -0.00155
21.0; 0.378; 54.24; 0.00541; -0.00606; 3.97949; -0.00213
24.0; 0.433; 53.48; 0.00444; 0.00327; 3.98774; -0.00218
27.0; 0.490; 52.64; 0.00329; 0.01108; 3.99336; -0.00175
30.0; 0.547; 51.80; 0.00204; 0.01713; 3.99727; -0.00091
33.0; 0.606; 50.94; 0.00085; 0.01631; 4.00027; 0.00008
36.0; 0.665; 50.08; 0.00003; 0.00883; 4.00290; 0.00084
39.0; 0.726; 49.22; -0.00027; 0.00073; 4.00550; 0.00116
42.0; 0.787; 48.34; -0.00020; -0.00242; 4.00830; 0.00117
45.0; 0.850; 47.47; -0.00005; -0.00186; 4.01139; 0.00113
48.0; 0.914; 46.58; 0.00003; -0.00047; 4.01480; 0.00116
51.0; 0.979; 45.69; 0.00003; 0.00027; 4.01853; 0.00126
54.0; 1.045; 44.79; 0.00001; 0.00030; 4.02257; 0.00139
57.0; 1.113; 43.88; -0.00000; 0.00010; 4.02696; 0.00153
60.0; 1.182; 42.97; -0.00000; -0.00002; 4.03173; 0.00166
63.0; 1.252; 42.04; -0.00000; -0.00004; 4.03686; 0.00176
66.0; 1.325; 41.11; 0.00000; -0.00002; 4.04219; 0.00177
69.0; 1.398; 40.16; 0.00000; 0.00000; 4.04733; 0.00162
72.0; 1.474; 39.21; 0.00000; 0.00000; 4.05173; 0.00128
75.0; 1.551; 38.24; 0.00000; 0.00000; 4.05480; 0.00074
78.0; 1.631; 37.26; 0.00000; -0.00000; 4.05597; 0.00001
81.0; 1.712; 36.26; 0.00000; -0.00000; 4.05464; -0.00093
84.0; 1.796; 35.25; 0.00000; -0.00000; 4.05022; -0.00206
87.0; 1.882; 34.22; 0.00006; -0.00363; 4.04195; -0.00357
90.0; 1.971; 33.18; 0.00038; -0.01295; 4.02854; -0.00589
93.0; 2.063; 32.13; 0.00111; -0.02572; 4.00816; -0.00927
96.0; 2.158; 31.08; 0.00220; -0.04003; 3.97903; -0.01346
99.0; 2.256; 30.02; 0.00352; -0.05513; 3.94040; -0.01792
102.0; 2.358; 28.96; 0.00493; -0.07114; 3.89228; -0.02245
105.0; 2.464; 27.90; 0.00636; -0.08873; 3.83429; -0.02725
108.0; 2.574; 26.85; 0.00776; -0.10885; 3.76498; -0.03273
111.0; 2.689; 25.81; 0.00915; -0.13255; 3.68131; -0.03947
114.0; 2.809; 24.79; 0.01057; -0.16095; 3.57826; -0.04826
117.0; 2.935; 23.79; 0.01207; -0.19503; 3.44818; -0.06010
120.0; 3.065; 22.84; 0.01370; -0.23513; 3.28030; -0.07614
123.0; 3.202; 21.95; 0.01556; -0.28019; 3.06089; -0.09695
126.0; 3.344; 21.13; 0.01772; -0.32714; 2.77723; -0.12072
129.0; 3.494; 20.38; 0.02023; -0.37147; 2.42594; -0.14309
132.0; 3.650; 19.68; 0.02300; -0.40925; 2.01861; -0.15980
135.0; 3.812; 19.02; 0.02581; -0.43940; 1.57871; -0.16836
138.0; 3.980; 18.40; 0.02840; -0.46403; 1.13552; -0.16784
141.0; 4.152; 17.81; 0.03063; -0.48691; 0.71722; -0.15971
144.0; 4.327; 17.25; 0.03268; -0.51153; 0.34206; -0.14755
147.0; 4.506; 16.73; 0.03502; -0.53895; 0.01783; -0.13342
150.0; 4.687; 16.25; 0.03836; -0.56752; -0.24749; -0.11602
153.0; 4.872; 15.78; 0.04360; -0.59718; -0.43841; -0.09358
156.0; 5.061; 15.31; 0.05226; -0.63420; -0.53738; -0.06933
159.0; 5.253; 15.08; 0.06183; -0.64103; -0.54206; -0.04874
162.0; 5.447; 15.09; 0.06681; -0.59614; -0.46717; -0.02983
165.0; 5.643; 15.11; 0.06196; -0.54062; -0.32972; -0.00645
168.0; 5.839; 15.11; 0.04443; -0.47454; -0.14111; 0.02669
171.0; 6.037; 15.34; 0.01287; -0.39623; 0.09695; 0.07642
