# b1059843-b232-4425-a57a-cac929edd8a1
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 143.7216176; -130.5274198; -2.1926690; -0.0008751; 56.8737510; 1.3425661
1.9998909; 145.3460896; -131.6939240; -2.1944523; -0.0009083; 56.9209410; 1.3337026
3.9997819; 146.9684220; -132.8633623; -2.1962974; -0.0009326; 56.9677807; 1.3248168
5.9996728; 148.5885613; -134.0358158; -2.1981780; -0.0009481; 57.0142703; 1.3079168
7.9995638; 150.2065055; -135.2113444; -2.2000689; -0.0009428; 57.0601297; 1.3002689
9.9994547; 151.8222187; -136.3899106; -2.2019428; -0.0009248; 57.1056844; 1.2882135
11.9993456; 153.4357469; -137.5714588; -2.2037617; -0.0008941; 57.1507810; -0.1311008
13.9992366; 155.0471783; -138.7558851; -2.2054963; -0.0008406; 57.1461932; -1.4135734
15.9991275; 156.6566114; -139.9430136; -2.2071202; -0.0007797; 57.0967022; -2.6880649
17.9990185; 158.2641949; -141.1326514; -2.2086114; -0.0007115; 57.0024713; -5.9219243
19.9989094; 159.8700838; -142.3245696; -2.2099590; -0.0006361; 56.7943248; -7.7037299
21.9988003; 161.4744561; -143.5185304; -2.2111555; -0.0005602; 56.5224034; -9.4424231
23.9986913; 163.0774970; -144.7142930; -2.2121991; -0.0004836; 56.1873158; -12.8236307
25.9985822; 164.6793677; -145.9115982; -2.2130928; -0.0004101; 55.7290116; -14.2104179
27.9984732; 166.2802610; -147.1102214; -2.2138414; -0.0003404; 55.2167018; -15.5308251
29.9983641; 167.8803469; -148.3099418; -2.2144563; -0.0002746; 54.6512968; -17.2961892
31.9982551; 169.4797549; -149.5105298; -2.2149435; -0.0002126; 54.0146578; -17.3159256
33.9981460; 171.0786602; -150.7118043; -2.2153087; -0.0001547; 53.3696856; -17.3218982
35.9980369; 172.6772045; -151.9135826; -2.2155644; -0.0001011; 52.7165963; -17.2396280
37.9979279; 174.2754763; -153.1156791; -2.2157336; -0.0000681; 52.0584745; -17.0612787
39.9978188; 175.8735938; -154.3180017; -2.2158406; -0.0000428; 51.3988655; -16.8806000
41.9977098; 177.4716204; -155.5204716; -2.2159084; -0.0000251; 50.7378031; -16.7098570
43.9976007; 179.0695612; -156.7230050; -2.2159441; -0.0000106; 50.0748328; -16.5183724
45.9974916; 180.6674876; -157.9255814; -2.2159524; 0.0000008; 49.4107173; -16.3253178
47.9973826; 182.2654302; -159.1281663; -2.2159422; 0.0000093; 48.7454744; -16.1653078
49.9972735; 183.8633644; -160.3307055; -2.2159238; 0.0000090; 48.0776827; -15.9776633
51.9971645; 185.4613327; -161.5332256; -2.2159070; 0.0000070; 47.4084001; -15.7879443
53.9970554; 187.0593342; -162.7357359; -2.2158967; 0.0000033; 46.7376515; -15.6384341
55.9969463; 188.6573144; -163.9382129; -2.2158929; 0.0000004; 46.0636271; -15.4543246
57.9968373; 190.2553049; -165.1406956; -2.2158949; -0.0000024; 45.3877056; -15.2675562
59.9967282; 191.8533145; -166.3432043; -2.2159022; -0.0000051; 44.7099197; -15.1282623
61.9966192; 193.4512871; -167.5457189; -2.2159251; -0.0000178; 44.0280271; -14.9474167
