# 87fa7c66-9403-4f2e-b035-b8f798d2d77d
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 143.8369208; -130.3745417; -2.2062010; -0.0002970; 53.8689302; 1.6052408
1.9994064; 145.4457467; -131.5616861; -2.2068160; -0.0003182; 53.9284776; 1.4145825
3.9988127; 147.0538144; -132.7498511; -2.2074720; -0.0003364; 53.9808980; 1.2226774
5.9982191; 148.6610848; -133.9390983; -2.2081595; -0.0003514; 54.0261659; 0.0528407
7.9976255; 150.2675202; -135.1294701; -2.2088710; -0.0003603; 54.0281214; -0.8301743
9.9970319; 151.8730982; -136.3209986; -2.2095987; -0.0003661; 53.9973906; -1.7108289
11.9964382; 153.4778070; -137.5137038; -2.2103333; -0.0003687; 53.9340051; -3.8620024
13.9958446; 155.0816333; -138.7075840; -2.2110664; -0.0003646; 53.7906450; -5.0405627
15.9952510; 156.6845916; -139.9026342; -2.2117892; -0.0003565; 53.6029591; -6.2026071
17.9946574; 158.2867036; -141.0988304; -2.2124901; -0.0003446; 53.3710985; -8.5506098
19.9940637; 159.8879843; -142.2961178; -2.2131586; -0.0003241; 53.0498055; -9.6117110
21.9934701; 161.4884939; -143.4944457; -2.2137840; -0.0002993; 52.6863022; -10.6430425
23.9928765; 163.0882942; -144.6937364; -2.2143534; -0.0002702; 52.2808464; -12.3814162
25.9922829; 164.6874344; -145.8938770; -2.2148581; -0.0002346; 51.8051729; -12.8903765
27.9916892; 166.2860188; -147.0947721; -2.2152894; -0.0001947; 51.3052603; -13.3741108
29.9910956; 167.8841457; -148.2962960; -2.2156345; -0.0001505; 50.7813861; -13.6284913
31.9905020; 169.4818926; -149.4982871; -2.2158914; -0.0001065; 50.2419286; -13.5682898
33.9899084; 171.0793915; -150.7006261; -2.2160641; -0.0000699; 49.6990376; -13.5044813
35.9893147; 172.6767328; -151.9031978; -2.2161747; -0.0000407; 49.1527460; -13.4767333
37.9887211; 174.2739495; -153.1058900; -2.2162396; -0.0000243; 48.6014558; -13.3761020
39.9881275; 175.8711180; -154.3086679; -2.2162732; -0.0000108; 48.0480279; -13.2733107
41.9875339; 177.4682729; -155.5114904; -2.2162843; -0.0000004; 47.4924783; -13.2246689
43.9869402; 179.0653996; -156.7142990; -2.2162813; 0.0000034; 46.9324251; -13.1241382
45.9863466; 180.6625461; -157.9171060; -2.2162721; 0.0000045; 46.3699423; -13.0211263
47.9857530; 182.2597176; -159.1199097; -2.2162646; 0.0000030; 45.8050489; -12.9774580
49.9851594; 183.8568685; -160.3226831; -2.2162603; 0.0000012; 45.2350316; -12.8767737
51.9845657; 185.4540354; -161.5254625; -2.2162594; -0.0000000; 44.6622467; -12.7732604
53.9839721; 187.0512188; -162.7282541; -2.2162601; -0.0000007; 44.0867145; -12.7350577
55.9833785; 188.6483708; -163.9310249; -2.2162613; -0.0000005; 43.5053248; -12.6339154
57.9827849; 190.2455314; -165.1338048; -2.2162626; -0.0000013; 42.9207715; -12.5295650
59.9821912; 191.8427133; -166.3366074; -2.2162669; -0.0000030; 42.3330750; -12.4968116
61.9815976; 193.4398624; -167.5394098; -2.2162861; -0.0000163; 41.7386731; -12.3949987
63.9810040; 195.0370209; -168.7422980; -2.2163252; -0.0000162; 41.1406314; -12.2895951
65.9804104; 196.6340521; -169.9451683; -2.2163441; -0.0000028; 40.5389660; -12.2651297
67.9798167; 198.2311900; -171.1481426; -2.2163479; -0.0000010; 39.9294604; -12.1627147
69.9792231; 199.8282565; -172.3510682; -2.2163484; -0.0000000; 39.3157143; -12.0562605
71.9786295; 201.4252388; -173.5539305; -2.2163483; 0.0000001; 38.6977346; -12.0393388
73.9780359; 203.0223910; -174.7569208; -2.2163486; -0.0000004; 38.0706133; -11.9361174
75.9774422; 204.6194608; -175.9598509; -2.2163494; 0.0000002; 37.4385003; -11.8280263
77.9768486; 206.2164224; -177.1626981; -2.2163471; 0.0000020; 36.8014027; -11.8196966
79.9762550; 207.8135915; -178.3656991; -2.2163504; -0.0000053; 36.1535404; -11.7011698
81.9756614; 209.4106537; -179.5686498; -2.2163772; -0.0000304; 35.5005310; -11.5767622
83.9750677; 211.0075074; -180.7715989; -2.2164805; -0.0000733; 34.8424223; -11.4997343
85.9744741; 212.6043941; -181.9749767; -2.2167150; -0.0001613; 34.1761483; -11.3301320
87.9738805; 214.2008238; -183.1788258; -2.2171446; -0.0002865; 33.5067461; -11.1562168
89.9732869; 215.7963704; -184.3834505; -2.2178783; -0.0004464; 32.8342871; -11.0017759
91.9726932; 217.3910965; -185.5896332; -2.2188582; -0.0005337; 32.1573688; -10.7978317
93.9720996; 218.9840700; -186.7971925; -2.2200771; -0.0007463; 31.4788479; -10.5909424
95.9715060; 220.5758392; -188.0076037; -2.2218957; -0.0010738; 30.7988095; -10.3836844
97.9709124; 222.1641766; -189.2208633; -2.2244527; -0.0014841; 30.1171755; -10.1572681
99.9703187; 223.7494307; -190.4392281; -2.2278222; -0.0018820; 29.4351362; -9.9296990
101.9697251; 225.3307155; -191.6640338; -2.2319742; -0.0022713; 28.7527431; -9.6909762
103.9691315; 226.9052363; -192.8951500; -2.2369880; -0.0027450; 28.0707648; -9.4401014
105.9685379; 228.4734911; -194.1353037; -2.2429736; -0.0032678; 27.3901194; -9.1911019
107.9679442; 230.0342669; -195.3862150; -2.2500788; -0.0038371; 26.7107683; -8.8839412
109.9673506; 231.5840902; -196.6481078; -2.2584465; -0.0045352; 26.0372796; -8.5877301
111.9667570; 233.1230203; -197.9245218; -2.2682510; -0.0053169; 25.3692571; -8.2962847
113.9661634; 234.6489092; -199.2177673; -2.2797541; -0.0061837; 24.7067585; -7.8635392
115.9655697; 236.1572650; -200.5286914; -2.2931535; -0.0072268; 24.0619844; -7.5053948
117.9649761; 237.6472922; -201.8619728; -2.3087028; -0.0084052; 23.4300325; -7.1386684
119.9643825; 239.1151927; -203.2206135; -2.3268646; -0.0097544; 22.8127207; -6.5750199
121.9637889; 240.5550939; -204.6062163; -2.3474442; -0.0108193; 22.2289890; -6.1926448
123.9631952; 241.9647960; -206.0227207; -2.3701302; -0.0119466; 21.6648269; -5.7660583
125.9626016; 243.3416519; -207.4739419; -2.3952256; -0.0131102; 21.1259873; -5.2260467
127.9620080; 244.6771467; -208.9584232; -2.4235386; -0.0154165; 20.6254541; -4.9265848
129.9614144; 245.9695355; -210.4872295; -2.4568213; -0.0176151; 20.1422160; -4.5646133
131.9608207; 247.2061173; -212.0589360; -2.4936650; -0.0192726; 19.6838978; -4.2864586
133.9602271; 248.3819113; -213.6780028; -2.5337874; -0.0207576; 19.2435726; -4.1086309
135.9596335; 249.4883716; -215.3428998; -2.5767891; -0.0222499; 18.8118431; -3.9109228
137.9590399; 250.5202332; -217.0561725; -2.6226875; -0.0236679; 18.3914761; -3.7622535
139.9584462; 251.4695256; -218.8159111; -2.6716690; -0.0254046; 17.9778154; -3.6335885
141.9578526; 252.3275125; -220.6199510; -2.7242555; -0.0271352; 17.5690582; -3.4585405
143.9572590; 253.0881818; -222.4708788; -2.7793782; -0.0280265; 17.1709566; -3.3023273
145.9566654; 253.7437886; -224.3617794; -2.8367783; -0.0294164; 16.7820250; -3.1603305
147.9560717; 254.2852790; -226.2817383; -2.8972354; -0.0312459; 16.4011827; -2.9318274
149.9554781; 254.7080044; -228.2408981; -2.9614876; -0.0329202; 16.0397931; -2.8161829
151.9548845; 254.9999673; -230.2187391; -3.0291945; -0.0347589; 15.6848199; -2.6921805
153.9542909; 255.1536165; -232.2065293; -3.1003153; -0.0366761; 15.3377981; -2.3461696
155.9536972; 255.1604710; -234.2070540; 3.1060662; -0.0399727; 15.0288442; -1.6294381
157.9531036; 255.0087749; -236.1965884; 3.0247152; -0.0407427; 14.8104807; -0.9195141
159.9525100; 254.6955327; -238.1708854; 2.9440643; -0.0399137; 14.6858223; 0.4648511
161.9519164; 254.2259949; -240.1128389; 2.8648122; -0.0394395; 14.7489738; 0.4484869
163.9513227; 253.6049654; -242.0118223; 2.7863592; -0.0390841; 14.8096470; 0.4141565
165.9507291; 252.8364472; -243.8589264; 2.7083199; -0.0388728; 14.8654558; 0.3157075
167.9501355; 251.9277171; -245.6390850; 2.6309902; -0.0385334; 14.9078581; 0.2211886
169.9495419; 250.8842823; -247.3433513; 2.5528101; -0.0402142; 14.9374939; 0.5382076
171.9489482; 249.7067487; -248.9589882; 2.4702072; -0.0411021; 15.0093609; 1.6793381
173.9483546; 248.4028733; -250.4732889; 2.3928498; -0.0362758; 15.2314239; 2.1893294
175.9477610; 246.9949976; -251.8868572; 2.3250629; -0.0317598; 15.5161526; 2.3361460
177.9471674; 245.4945234; -253.2132590; 2.2656080; -0.0283436; 15.8143227; 2.0743790
179.9465737; 243.9240668; -254.4482695; 2.2086450; -0.0287285; 16.0744473; 2.0058029
181.9459801; 242.2833470; -255.5927899; 2.1514095; -0.0280694; 16.3220307; 1.9881504
183.9453865; 240.5794402; -256.6441273; 2.0961419; -0.0271024; 16.5637836; 2.1220664
185.9447929; 238.8227153; -257.6015789; 2.0442150; -0.0248843; 16.8179866; 2.2943976
187.9441992; 237.0205204; -258.4701957; 1.9961495; -0.0233050; 17.0885792; 2.4741848
189.9436056; 235.1834256; -259.2524042; 1.9509728; -0.0219298; 17.3756537; 2.8275244
191.9430120; 233.3096531; -259.9549274; 1.9085079; -0.0204922; 17.6980248; 3.0200468
193.9424184; 231.4113050; -260.5792635; 1.8691062; -0.0188553; 18.0359831; 3.2708871
195.9418247; 229.4906606; -261.1317338; 1.8332814; -0.0169910; 18.3950088; 3.5578881
197.9412311; 227.5505734; -261.6190036; 1.8010046; -0.0153029; 18.7777442; 3.7379116
199.9406375; 225.5982250; -262.0463177; 1.7720831; -0.0136781; 19.1716167; 3.9628919
201.9400439; 223.6343857; -262.4201643; 1.7462401; -0.0121720; 19.5805452; 4.1715212
203.9394502; 221.6611345; -262.7461904; 1.7232834; -0.0108187; 20.0019719; 4.3257829
205.9388566; 219.6825672; -263.0292802; 1.7029662; -0.0095485; 20.4298036; 4.5037133
207.9382630; 217.6982986; -263.2745837; 1.6850037; -0.0084169; 20.8659144; 4.6551094
209.9376694; 215.7097141; -263.4864628; 1.6692150; -0.0074050; 21.3073061; 4.7819645
211.9370757; 213.7192715; -263.6687822; 1.6553800; -0.0064724; 21.7514017; 4.9126398
213.9364821; 211.7259275; -263.8253290; 1.6432223; -0.0056868; 22.1983829; 5.0198850
215.9358885; 209.7307650; -263.9592248; 1.6326668; -0.0048595; 22.6460103; 5.1177718
217.9352949; 207.7354321; -264.0736762; 1.6237950; -0.0040527; 23.0934361; 5.1990052
219.9347012; 205.7386011; -264.1719313; 1.6163499; -0.0033911; 23.5392574; 5.2468339
221.9341076; 203.7417701; -264.2564531; 1.6098839; -0.0032213; 23.9807787; 5.2971476
223.9335140; 201.7433215; -264.3281467; 1.6034255; -0.0032126; 24.4184367; 5.2945366
225.9329204; 199.7448945; -264.3870343; 1.5971245; -0.0030913; 24.8481772; 5.2755858
227.9323267; 197.7463790; -264.4335523; 1.5910388; -0.0030074; 25.2691114; 5.2889325
229.9317331; 195.7467743; -264.4680675; 1.5851069; -0.0028735; 25.6841866; 5.2569926
231.9311395; 193.7476916; -264.4911943; 1.5797515; -0.0024849; 26.0902121; 5.2483635
233.9305459; 191.7485145; -264.5044949; 1.5754021; -0.0017596; 26.4893637; 5.2639432
235.9299522; 189.7485220; -264.5107729; 1.5727691; -0.0008242; 26.8837481; 5.2326682
237.9293586; 187.7492405; -264.5138900; 1.5723514; 0.0004052; 27.2701370; 5.2170611
239.9287650; 185.7495953; -264.5186423; 1.5744236; 0.0016873; 27.6499986; 4.9463678
241.9281714; 183.7500385; -264.5301441; 1.5791099; 0.0029880; 28.0053928; 2.9355135
243.9275777; 181.7505714; -264.5535437; 1.5862898; 0.0041951; 28.2141913; 0.7320185
245.9269841; 179.7511670; -264.5936860; 1.5958013; 0.0052571; 28.2660184; -1.0236073
247.9263905; 177.7532121; -264.6548072; 1.6072787; 0.0062053; 28.1935202; -4.2414624
249.9257969; 175.7551313; -264.7405985; 1.6203583; 0.0068755; 27.8911056; -5.4033024
251.9252032; 173.7591374; -264.8538253; 1.6348148; 0.0076149; 27.5010359; -6.2315741
253.9246096; 171.7654285; -264.9973998; 1.6508157; 0.0083817; 27.0441875; -6.2016808
255.9240160; 169.7738430; -265.1742988; 1.6681497; 0.0089557; 26.5817365; -6.1467049
257.9234224; 167.7860592; -265.3867772; 1.6865839; 0.0094548; 26.1153058; -6.0864189
259.9228287; 165.8022228; -265.6368326; 1.7059225; 0.0098828; 25.6450920; -6.1442460
261.9222351; 163.8243679; -265.9258837; 1.7260147; 0.0102180; 25.1614995; -6.1417685
263.9216415; 161.8526244; -266.2553030; 1.7467726; 0.0105546; 24.6686294; -6.1244479
265.9210479; 159.8871499; -266.6264712; 1.7682247; 0.0108926; 24.1671420; -6.1542043
267.9204542; 157.9322458; -267.0400167; 1.7904628; 0.0113621; 23.6525103; -6.0325185
269.9198606; 155.9862287; -267.4980948; 1.8136836; 0.0119219; 23.1369473; -5.9109119
271.9192670; 154.0504010; -268.0027906; 1.8382031; 0.0125881; 22.6203824; -5.6608129
273.9186734; 152.1308149; -268.5553243; 1.8642068; 0.0134480; 22.1143657; -5.4304367
275.9180797; 150.2247505; -269.1598826; 1.8919754; 0.0143959; 21.6178137; -5.1764842
277.9174861; 148.3361211; -269.8193877; 1.9219220; 0.0155503; 21.1336244; -4.8394713
279.9168925; 146.4723456; -270.5355010; 1.9534285; 0.0158805; 20.6707025; -4.6283816
281.9162989; 144.6300894; -271.3112417; 1.9854080; 0.0164655; 20.2180590; -4.3755864
283.9157052; 142.8137020; -272.1478357; 2.0199458; 0.0180382; 19.7806157; -4.1583896
285.9151116; 141.0302451; -273.0486641; 2.0577212; 0.0198991; 19.3557262; -4.0122789
287.9145180; 139.2793029; -274.0225479; 2.0997980; 0.0219944; 18.9367311; -3.8373616
289.9139244; 137.5759262; -275.0702979; 2.1451855; 0.0234687; 18.5271394; -3.7237918
291.9133307; 135.9218592; -276.1981216; 2.1937553; 0.0248931; 18.1208209; -3.6180911
293.9127371; 134.3304615; -277.4034930; 2.2447735; 0.0262703; 17.7171126; -3.5239413
295.9121435; 132.7994758; -278.6954579; 2.2993378; 0.0282363; 17.3148635; -3.3972279
297.9115499; 131.3479194; -280.0680243; 2.3577909; 0.0302128; 16.9180265; -3.2479318
299.9109562; 129.9819193; -281.5255048; 2.4199914; 0.0320623; 16.5297232; -3.0232257
301.9103626; 128.7090304; -283.0703502; 2.4849889; 0.0326864; 16.1599021; -2.8913846
303.9097690; 127.5422221; -284.6918770; 2.5510000; 0.0336264; 15.7981116; -2.7448169
305.9091754; 126.4867019; -286.3890040; 2.6199809; 0.0354114; 15.4468224; -2.2080264
307.9085817; 125.5531153; -288.1576440; 2.6922457; 0.0367007; 15.1583257; -1.8161739
309.9079881; 124.7531863; -289.9863685; 2.7666781; 0.0381489; 14.9168461; -1.1903965
311.9073945; 124.0943519; -291.8729658; 2.8453115; 0.0404284; 14.7564266; 0.0584759
313.9068009; 123.5906535; -293.8024608; 2.9277309; 0.0421061; 14.7643476; 0.4446043
315.9062072; 123.2496502; -295.7723045; 3.0127730; 0.0422717; 14.8244342; 0.3527155
317.9056136; 123.0753411; -297.7624895; 3.0949215; 0.0399672; 14.8719297; 0.2364481
319.9050200; 123.0610015; -299.7588317; -3.1092777; 0.0397845; 14.9036842; 0.3316936
321.9044264; 123.2063843; -301.7588819; -3.0284795; 0.0402018; 14.9481164; 1.3054707
323.9038327; 123.5085634; -303.7329004; -2.9521768; 0.0363887; 15.1217233; 1.9283904
325.9032391; 123.9547362; -305.6849236; -2.8830525; 0.0320379; 15.3745826; 2.5083671
327.9026455; 124.5242355; -307.6015087; -2.8241547; 0.0269704; 15.6973972; 2.4651762
329.9020519; 125.2005263; -309.4895492; -2.7713215; 0.0261206; 16.0083121; 2.5598596
331.9014582; 125.9723969; -311.3337585; -2.7192081; 0.0255742; 16.3249030; 2.7235406
333.9008646; 126.8362672; -313.1348391; -2.6702491; 0.0233931; 16.6551309; 3.2075107
335.9002710; 127.7854717; -314.8980153; -2.6262751; 0.0203200; 17.0358334; 3.6073562
337.8996774; 128.8013300; -316.6144740; -2.5893780; 0.0164853; 17.4540758; 4.3146526
339.8990837; 129.8752899; -318.3006252; -2.5611439; 0.0116835; 17.9415231; 5.0526700
341.8984901; 130.9883706; -319.9616788; -2.5431099; 0.0062333; 18.4960247; 4.7733050
343.8978965; 132.1199261; -321.6058263; -2.5364917; 0.0001838; 19.0050121; 3.0977423
345.8973029; 133.2534950; -323.2520829; -2.5429183; -0.0065816; 19.3281602; -1.0089963
347.8967092; 134.3647501; -324.9105740; -2.5610396; -0.0111492; 19.2235009; -3.1138523
349.8961156; 135.4417504; -326.5980104; -2.5873208; -0.0150804; 18.8968589; -5.3622110
351.8955220; 136.4664458; -328.3157195; -2.6214415; -0.0190759; 18.3207205; -4.5064477
353.8949284; 137.4256413; -330.0718326; -2.6628793; -0.0221642; 17.8221311; -4.1032298
355.8943347; 138.3055760; -331.8679476; -2.7101728; -0.0249304; 17.3556996; -3.7310185
357.8937411; 139.0944721; -333.7043149; -2.7622773; -0.0272687; 16.9204216; -3.4997505
359.8931475; 139.7834667; -335.5844677; -2.8190866; -0.0294258; 16.5016914; -3.3489443
361.8925539; 140.3593788; -337.4980762; -2.8801898; -0.0316670; 16.0908054; -3.2017641
363.8919602; 140.8127232; -339.4425015; -2.9456313; -0.0339305; 15.6879177; -3.0349938
365.8913666; 141.1342021; -341.4190691; -3.0158223; -0.0361569; 15.2962214; -2.9167159
367.8907730; 141.3115066; -343.4086175; -3.0903626; -0.0384467; 14.9100969; -2.8071767
369.8901794; 141.3357244; -345.4040046; 3.1139288; -0.0405971; 14.5287857; -2.7517005
371.8895857; 141.1976463; -347.3983976; 3.0301820; -0.0430792; 14.1450373; -1.9087787
373.8889921; 140.8893625; -349.3685513; 2.9415343; -0.0460341; 13.8726072; -1.3937440
375.8883985; 140.4010161; -351.3061310; 2.8472428; -0.0477432; 13.6702564; -1.1749162
377.8878049; 139.7303649; -353.1895502; 2.7517734; -0.0477521; 13.4973198; -0.0796856
379.8872112; 138.8849781; -354.9982493; 2.6573761; -0.0467039; 13.4855105; 0.2564100
381.8866176; 137.8706008; -356.7258784; 2.5640800; -0.0462504; 13.5234732; 0.3982755
383.8860240; 136.7028494; -358.3492631; 2.4720183; -0.0460158; 13.5822295; 0.2300802
385.8854304; 135.3893186; -359.8597532; 2.3794692; -0.0465681; 13.6160569; 0.6024637
387.8848367; 133.9416529; -361.2403170; 2.2854554; -0.0463039; 13.7042382; 1.2738588
389.8842431; 132.3766201; -362.4787261; 2.1958624; -0.0436061; 13.8888469; 2.1279764
391.8836495; 130.7054914; -363.5795265; 2.1119354; -0.0399267; 14.1918796; 2.0591083
393.8830559; 128.9588161; -364.5399886; 2.0361313; -0.0370440; 14.4790689; 1.8747731
395.8824622; 127.1397452; -365.3715552; 1.9636034; -0.0353293; 14.7356813; 1.6800055
397.8818686; 125.2714731; -366.0700803; 1.8937951; -0.0346841; 14.9618959; 1.7214897
399.8812750; 123.3554550; -366.6388995; 1.8253884; -0.0335044; 15.1902023; 1.7833475
401.8806814; 121.4007929; -367.0790392; 1.7596036; -0.0320550; 15.4231488; 2.0099903
403.8800877; 119.4275083; -367.3926937; 1.6980404; -0.0296884; 15.6815526; 2.2515586
405.8794941; 117.4359051; -367.5889248; 1.6407493; -0.0274135; 15.9660469; 2.4662271
407.8789005; 115.4385767; -367.6755181; 1.5882460; -0.0251834; 16.2719585; 2.8429843
409.8783069; 113.4395928; -367.6614021; 1.5399065; -0.0231358; 16.6176170; 3.1022170
411.8777132; 111.4445673; -367.5550292; 1.4958990; -0.0208894; 16.9867707; 3.3277955
413.8771196; 109.4534590; -367.3652570; 1.4564120; -0.0186182; 17.3740499; 3.6388962
415.8765260; 107.4728205; -367.1016627; 1.4212414; -0.0165865; 17.7878856; 3.8427001
417.8759324; 105.5014227; -366.7724350; 1.3900247; -0.0147053; 18.2146950; 4.0253735
419.8753387; 103.5380194; -366.3848494; 1.3623517; -0.0129708; 18.6513224; 4.2484887
421.8747451; 101.5886069; -365.9470995; 1.3379660; -0.0114503; 19.1013282; 4.3970885
423.8741515; 99.6480251; -365.4643928; 1.3164965; -0.0100644; 19.5561722; 4.5407627
425.8735579; 97.7164502; -364.9423913; 1.2976351; -0.0087996; 20.0150327; 4.6910082
427.8729642; 95.7962297; -364.3869269; 1.2811545; -0.0076983; 20.4782811; 4.8045471
429.8723706; 93.8834535; -363.8015371; 1.2667901; -0.0067007; 20.9421221; 4.9193115
431.8717770; 91.9799366; -363.1909439; 1.2542970; -0.0058029; 21.4066318; 5.0168404
433.8711833; 90.0813182; -362.5575058; 1.2435430; -0.0049493; 21.8701918; 5.1124426
435.8705897; 88.1908558; -361.9059141; 1.2344978; -0.0040685; 22.3326889; 5.2019086
437.8699961; 86.3072967; -361.2395452; 1.2273410; -0.0030898; 22.7936493; 5.2547075
439.8694025; 84.4256427; -360.5602048; 1.2212698; -0.0031129; 23.2500116; 5.3102490
441.8688088; 82.5503971; -359.8699697; 1.2149186; -0.0031850; 23.7022727; 5.3376887
443.8682152; 80.6789249; -359.1676121; 1.2086423; -0.0030948; 24.1483364; 5.3064144
445.8676216; 78.8107258; -358.4532302; 1.2024884; -0.0030676; 24.5837651; 5.3263112
447.8670280; 76.9481247; -357.7278646; 1.1963770; -0.0030460; 25.0132051; 5.3207532
449.8664343; 75.0898028; -356.9911052; 1.1903142; -0.0030191; 25.4349587; 5.2870962
451.8658407; 73.2353177; -356.2428786; 1.1842994; -0.0029972; 25.8472287; 5.3003406
453.8652471; 71.3859902; -355.4838166; 1.1783316; -0.0029722; 26.2540340; 5.2919144
455.8646535; 69.5410520; -354.7137175; 1.1724194; -0.0029416; 26.6539993; 5.2528101
457.8640598; 67.7004903; -353.9326954; 1.1665574; -0.0029239; 27.0451600; 5.2448753
459.8634662; 65.8647641; -353.1410256; 1.1607084; -0.0029627; 27.4301651; 5.2081589
461.8628726; 64.0335032; -352.3383588; 1.1546549; -0.0030914; 27.8072006; 5.0141478
463.8622790; 62.2075679; -351.5244224; 1.1481714; -0.0034182; 28.1654229; 4.1243478
